"PM","BK","MC","Data Engineering","FT"
"Imperatif","Python","Spring boot","MongoDB","Html"
"Declaratif","C++","kubernetes","PostgreSQL","CSS"
"Fonctionnel","C","docker","My SQL","Django"
"Oriente Objet POO","Java Script","kafka","Hadoop","angular"
"","PHP","ElasticSearch","Amazon redshift ",""
"","Pear","Kibana","Azure","Hibernate"
"","C#","API","CI/CD","Spring"
"","Ruby","","Spark","Django "
"","R","","elastic search","Laravel"
"","NET","","","Symphony"
"","","","","Angular"
"","","","","React Native"
"","","","","Spring boot"
"","","","","NET "
